expression,reading,romaji,meaning,tags,part_of_speech,most_200_verb,transitivity
現像,げんぞう,genzou,developing (film),JLPT_1,noun,x,
原則,げんそく,gensoku,principle; general rule,JLPT_1,noun,x,
見地,けんち,kenchi,point of view,JLPT_1,noun,x,
現地,げんち,genchi,actual place; local,JLPT_1,noun,x,
限定,げんてい,gentei,limit; restriction,JLPT_1,noun,x,
原点,げんてん,genten,origin (coordinates; starting point),JLPT_1,noun,x,
原典,げんてん,genten,original; source,JLPT_1,noun,x,
原爆,げんばく,genbaku,atomic bomb,JLPT_1,noun,x,
原文,げんぶん,genbun,the text; original,JLPT_1,noun,x,
厳密,げんみつ,genmitsu,strict; close,JLPT_1,noun,x,
賢明,けんめい,kenmei,wisdom; intelligence; prudence,JLPT_1,noun,x,
倹約,けんやく,kenyaku,thrift; economy; frugality,JLPT_1,noun,x,
原油,げんゆ,genyu,crude oil,JLPT_1,noun,x,
兼用,けんよう,ken'you,multi-use; combined use,JLPT_1,noun,x,
権力,けんりょく,kenryoku,(political) power; authority; influence,JLPT_1,noun,x,
言論,げんろん,genron,discussion; speech,JLPT_1,noun,x,
故～,こ～,ko~,deceased; late,JLPT_1,noun,x,
語彙,ごい,goi,vocabulary; glossary,JLPT_1,noun,x,
恋する,こいする,koisuru,to fall in love with; to love,JLPT_1,verb,x,both
甲,こう,kou,1st in rank; shell,JLPT_1,noun,x,
～光,～こう,~kou,light,JLPT_1,noun,x,
好意,こうい,koui,good will; favor; courtesy,JLPT_1,noun,x,
行為,こうい,koui,act; deed; conduct,JLPT_1,noun,x,
合意,ごうい,goui,agreement; consent; mutual understanding,JLPT_1,noun,o,intransitive
工学,こうがく,kougaku,engineering,JLPT_1,noun,x,
抗議,こうぎ,kougi,protest; objection,JLPT_1,noun,x,
合議,ごうぎ,gougi,consultation; conference,JLPT_1,noun,x,
皇居,こうきょ,koukyo,Imperial Palace,JLPT_1,noun,x,
好況,こうきょう,koukyou,prosperous conditions; healthy economy,JLPT_1,noun,x,
鉱業,こうぎょう,kougyou,mining industry,JLPT_1,noun,x,
興業,こうぎょう,kougyou,starting a business; industry,JLPT_1,noun,x,
高原,こうげん,kougen,tableland; plateau,JLPT_1,noun,x,
交互,こうご,kougo,mutual; reciprocal; alternate,JLPT_1,noun,x,
煌々と,こうこうと,koukouto,brightly,JLPT_1,noun,x,
考古学,こうこがく,koukogaku,archeology,JLPT_1,noun,x,
工作,こうさく,kousaku,handicraft; maneuvering,JLPT_1,noun,x,
耕作,こうさく,kousaku,cultivation; farming,JLPT_1,noun,x,
鉱山,こうざん,kouzan,mine,JLPT_1,noun,x,
講習,こうしゅう,koushuu,short course; training,JLPT_1,noun,x,
口述,こうじゅつ,koujutsu,verbal statement,JLPT_1,noun,x,
控除,こうじょ,koujo,subsidy; deduction,JLPT_1,noun,x,
交渉,こうしょう,koushou,negotiation,JLPT_1,noun,o,both
高尚,こうしょう,koushou,high; noble; refined,JLPT_1,noun,x,
向上,こうじょう,koujou,rise; improvement; progress,JLPT_1,noun,x,
行進,こうしん,koushin,march; parade,JLPT_1,noun,x,
香辛料,こうしんりょう,koushinryou,spices,JLPT_1,noun,x,
降水,こうすい,kousui,rainfall; precipitation,JLPT_1,noun,x,
洪水,こうずい,kouzui,flood,JLPT_1,noun,x,
